driverId,Name
26,"Scott Speed"
121,"Michael Andretti"
158,"Eddie Cheever"
193,"Danny Sullivan"
207,"Mario Andretti"
214,"Kevin Cogan"
239,"Brett Lunger"
240,"Danny Ongais"
249,"Bobby Rahal"
288,"Mark Donohue"
309,"Peter Revson"
332,"George Follmer"
342,"Skip Barber"
344,"Sam Posey"
353,"Pete Lovely"
364,"Dan Gurney"
366,"Gus Hutchison"
381,"Bobby Unser"
386,"Richie Ginther"
392,"Mike Fisher"
393,"Tom Jones"
396,"Bob Bondurant"
403,"Phil Hill"
405,"Ronnie Bucknum"
418,"Masten Gregory"
433,"Walt Hansgen"
434,"Hap Sharp"
440,"Jim Hall"
438,"Tony Settember"
449,"Rodger Ward"
451,"Frank Dochnal"
452,"Thomas Monarch"
463,"Jay Chamberlain"
468,"Roger Penske"
470,"Timmy Mayer"
494,"Lloyd Ruby"
501,"Harry Schell"
507,"Chuck Daigh"
508,"Lance Reventlow"
545,"Fred Gamble"
548,"Bob Drake"
566,"Carroll Shelby"
572,"Harry Blanchard"
574,"George Constantine"
575,"Bob Said"
576,"Phil Cade"
584,"Bruce Kessler"
526,"Troy Ruttman"
618,"Herbert MacKay-Fraser"
667,"John Fitch"
693,"Fred Wacker"
737,"Robert O'Brien"
834,"Alexander Rossi"
